Gene,SRR647673,SRR647674,SRR647675,avgLogExpr,LogFC.73.74,LogFC.73.75,LogFC.74.75
gene:EBG00000994442,19.46863975,17.62224169,17.36323716,18.15137287,1.846398054,2.105402592,0.259004538
gene:EBG00000994444,6.713531306,6.744473277,6.538495258,6.665499947,-0.03094197,0.175036049,0.205978019
gene:EBG00000994446,7.425642031,7.904913973,8.417186003,7.915914002,-0.479271942,-0.991543972,-0.51227203
gene:EBG00000994448,8.292812955,10.37554153,10.08647468,9.584943057,-2.082728579,-1.793661726,0.289066853
gene:EBG00000994450,6.471621003,7.507031999,9.037162345,7.671938449,-1.035410997,-2.565541342,-1.530130346
gene:EBG00000994451,5.99250807,6.70408731,6.431160635,6.375918672,-0.71157924,-0.438652565,0.272926676
gene:EBG00000994453,8.095931937,8.395806247,8.143279901,8.211672695,-0.29987431,-0.047347964,0.252526346
gene:EBG00000994455,6.315464443,7.980550648,7.68283641,7.326283833,-1.665086205,-1.367371967,0.297714238
gene:EBG00000994457,3.797992032,4.189680587,4.279993995,4.089222205,-0.391688555,-0.482001963,-0.090313408
gene:EBG00000994459,19.80731777,20.84131137,20.76559342,20.47140752,-1.033993607,-0.958275653,0.075717954
gene:EBG00000994462,7.196503661,7.150214442,6.89548839,7.080735498,0.046289219,0.301015271,0.254726052
gene:EBG00000994463,5.623054622,6.424101238,7.07803045,6.375062103,-0.801046616,-1.454975828,-0.653929213
gene:EBG00000994464,9.251706679,10.57894003,10.47514528,10.10193066,-1.327233353,-1.223438599,0.103794754
gene:EBG00000994466,23.06968811,20.50173911,20.64418558,21.40520426,2.567949001,2.425502529,-0.142446472
gene:EBG00000994468,6.201338845,6.780481811,6.846387824,6.609402827,-0.579142967,-0.645048979,-0.065906012
gene:EBG00000994470,0,0,0,0,0,0,0
gene:EBG00000994472,0,0,0,0,0,0,0
gene:EBG00000994473,0,0,0,0,0,0,0
gene:EBG00000994474,8.39086517,10.87400157,10.4339301,9.899598947,-2.483136404,-2.043064925,0.440071479
gene:EBG00000994475,4.205721481,4.66013781,4.490653903,4.452171064,-0.454416329,-0.284932422,0.169483907
gene:EBG00000994476,0,0,0,0,0,0,0
gene:EBG00000994477,4.373910969,5.16501404,4.886633631,4.808519546,-0.791103071,-0.512722662,0.278380409
gene:EBG00000994479,0,0,0,0,0,0,0
gene:EBG00000994480,9.737797969,11.17533945,10.99692683,10.63668808,-1.437541485,-1.259128859,0.178412626
gene:EBG00000994482,11.00370644,11.99189088,11.84526776,11.61362169,-0.988184441,-0.841561327,0.146623114
gene:EBG00000994484,5.107425557,5.73527325,5.675750141,5.506149649,-0.627847693,-0.568324585,0.059523109
gene:EBG00000994487,5.443912605,6.206201315,6.284411499,5.97817514,-0.76228871,-0.840498894,-0.078210184
gene:EBG00000994489,8.08686405,8.851922882,8.084630841,8.341139258,-0.765058832,0.002233209,0.767292041
gene:EBG00000994492,6.408248115,8.066341712,7.876647838,7.450412555,-1.658093598,-1.468399723,0.189693875
gene:EBG00000994494,7.371160098,7.629199863,7.799024884,7.599794948,-0.258039765,-0.427864786,-0.169825021
gene:EBG00000994498,5.644794048,5.59013194,5.390364688,5.541763558,0.054662108,0.254429361,0.199767252
gene:EBG00000994501,12.58881197,9.488431854,9.470675717,10.51597318,3.10038012,3.118136257,0.017756137
gene:EBG00000994504,9.027150354,10.37284583,10.10688505,9.835627078,-1.345695476,-1.079734698,0.265960778
gene:EBG00000994506,23.60207311,21.78951521,21.94638311,22.44599048,1.812557898,1.655689991,-0.156867907
gene:EBG00000994509,0,0,0,0,0,0,0
gene:EBG00000994512,10.14445929,9.637149686,9.521296,9.767634992,0.507309604,0.62316329,0.115853686
gene:EBG00000994515,6.140872087,7.068775512,7.437033178,6.882226926,-0.927903424,-1.296161091,-0.368257666
gene:EBG00000994517,6.73348267,6.499507699,6.415927257,6.549639208,0.233974971,0.317555413,0.083580442
gene:EBG00000994520,10.52796116,10.30722787,10.14130573,10.32549825,0.220733289,0.386655431,0.165922142
gene:EBG00000994522,5.947458254,7.246453761,6.922517534,6.705476517,-1.298995507,-0.97505928,0.323936227
gene:EBG00000994524,24.05071464,21.93533117,22.09594582,22.69399721,2.115383474,1.954768823,-0.16061465
gene:EBG00000994525,23.06971693,20.50174263,20.64438167,21.40528041,2.567974298,2.425335259,-0.142639039
gene:EBG00000994527,5.845329219,7.163649394,7.374770099,6.794582904,-1.318320175,-1.52944088,-0.211120705
gene:EBG00000994530,6.232414589,8.007150934,7.708465394,7.316010306,-1.774736345,-1.476050804,0.29868554
gene:EBG00000994532,8.320604827,10.69329794,10.36385108,9.792584616,-2.372693112,-2.043246254,0.329446858
gene:EBG00000994534,9.057128497,10.87757575,10.70337992,10.21269472,-1.820447257,-1.646251425,0.174195832
gene:EBG00000994537,4.352155602,5.155088289,4.839157365,4.782133752,-0.802932688,-0.487001763,0.315930925
gene:EBG00000994540,9.980928409,12.27394628,11.99404841,11.4163077,-2.293017874,-2.013120004,0.279897871
gene:EBG00000994542,5.875572725,6.741713138,6.545619019,6.387634961,-0.866140412,-0.670046293,0.196094119
gene:EBG00000994544,0,0,0,0,0,0,0
gene:EBG00000994546,11.52620481,10.20008242,9.870300673,10.53219597,1.326122388,1.655904133,0.329781745
gene:EBG00000994548,5.469389146,5.787121148,5.832558222,5.696356172,-0.317732001,-0.363169075,-0.045437074
gene:EBG00000994549,0,0,0,0,0,0,0
gene:EBG00000994550,10.6952574,11.5253936,11.18214389,11.13426497,-0.830136203,-0.486886493,0.34324971
gene:EBG00000994554,4.148469716,4.506238748,4.485871442,4.380193302,-0.357769032,-0.337401727,0.020367306
gene:EBG00000994556,9.182740823,9.792405356,9.744602271,9.573249483,-0.609664533,-0.561861448,0.047803085
gene:EBG00000994558,7.034896751,8.360591345,8.248377571,7.881288556,-1.325694594,-1.21348082,0.112213774
gene:EBG00000994560,17.75668597,18.16091558,17.74214127,17.88658094,-0.404229607,0.014544702,0.41877431
gene:EBG00000994562,8.745007495,8.757414689,8.615621255,8.70601448,-0.012407194,0.129386241,0.141793435
gene:EBG00000994564,10.8026862,12.60931403,12.257609,11.88986974,-1.806627833,-1.454922797,0.351705036
gene:EBG00000994566,20.00092127,17.8725916,17.60907201,18.49419496,2.128329666,2.391849256,0.26351959
gene:EBG00000994569,5.494313494,5.745089297,6.271801993,5.837068261,-0.250775803,-0.777488499,-0.526712696
gene:EBG00000994572,9.12676914,10.39201278,10.1537773,9.890853076,-1.265243643,-1.027008164,0.238235479
gene:EBG00000994575,0,0,0,0,0,0,0
gene:EBG00000994578,4.152278662,4.757426102,4.660945281,4.523550015,-0.605147441,-0.508666619,0.096480821
gene:EBG00000994581,5.924223612,5.727853063,5.612362961,5.754813212,0.196370549,0.311860651,0.115490101
gene:EBG00000994585,8.831128199,9.748003684,9.871838266,9.483656716,-0.916875485,-1.040710067,-0.123834582
gene:EBG00000994589,11.40606352,10.04358448,9.888231808,10.44595994,1.362479042,1.517831716,0.155352674
gene:EBG00000994592,7.539897051,6.611164909,6.708068724,6.953043562,0.928732142,0.831828327,-0.096903815
gene:EBG00000994594,9.062237096,10.20320517,9.943005588,9.736149284,-1.14096807,-0.880768491,0.260199579
gene:EBG00000994598,11.38876444,10.03459053,9.864553554,10.42930284,1.354173909,1.524210887,0.170036978
gene:EBG00000994604,9.381945186,6.533828779,6.670126358,7.528633441,2.848116408,2.711818829,-0.136297579
gene:EBG00000994608,10.56461137,12.15726483,11.83597558,11.51928393,-1.592653464,-1.271364217,0.321289247
gene:EBG00000994612,6.933286711,5.743876716,5.957124236,6.211429221,1.189409994,0.976162474,-0.21324752
gene:EBG00000994616,9.344649407,8.908268436,8.767569404,9.006829082,0.43638097,0.577080002,0.140699032
gene:EBG00000994619,5.478546837,6.96599108,6.459416825,6.301318247,-1.487444243,-0.980869988,0.506574255
gene:EBG00000994622,10.00368439,9.583124143,9.078611686,9.555140073,0.420560246,0.925072703,0.504512457
gene:EBG00000994625,0,0,0,0,0,0,0
gene:EBG00000994631,0,0,0,0,0,0,0
gene:EBG00000994635,0,0,0,0,0,0,0
gene:EBG00000994638,8.669256016,9.756158524,9.667749393,9.364387977,-1.086902508,-0.998493376,0.088409131
gene:EBG00000994641,10.12939062,12.4074133,11.86484653,11.46721682,-2.278022679,-1.735455912,0.542566766
gene:EBG00000994644,10.21673402,9.191661185,9.050228198,9.486207802,1.025072837,1.166505823,0.141432987
gene:EBG00000994647,8.584749231,9.068396932,9.077528311,8.910224825,-0.4836477,-0.49277908,-0.009131379
gene:MSMEG_0001,13.59364907,14.34295696,14.2091531,14.04858638,-0.749307887,-0.615504026,0.133803861
gene:MSMEG_0002,12.01170849,12.91581588,13.00522297,12.64424911,-0.904107391,-0.993514489,-0.089407098
gene:MSMEG_0003,11.49252193,12.17561192,12.24508668,11.97107351,-0.683089989,-0.752564749,-0.06947476
gene:MSMEG_0004,9.515503422,10.41860327,10.37645281,10.10351984,-0.903099852,-0.86094939,0.042150463
gene:MSMEG_0005,15.27950213,15.4433376,14.9649053,15.22924835,-0.163835465,0.314596832,0.478432297
gene:MSMEG_0006,15.17281786,14.69024812,14.8150431,14.89270302,0.482569737,0.357774761,-0.124794976
gene:MSMEG_0007,13.84772488,13.01511458,13.16892963,13.34392303,0.832610308,0.678795255,-0.153815052
gene:MSMEG_0008,7.866738824,8.672801124,8.467489355,8.335676434,-0.806062301,-0.600750532,0.205311769
gene:MSMEG_0009,10.63069286,12.51299978,11.97744729,11.70704664,-1.882306917,-1.346754433,0.535552484
gene:MSMEG_0010,6.469987977,8.428486964,7.989995509,7.62949015,-1.958498987,-1.520007532,0.438491455
gene:MSMEG_0011,8.934201437,10.11617546,10.12836218,9.726246361,-1.181974027,-1.194160745,-0.012186718
gene:MSMEG_0012,8.528081546,9.059558199,9.317251086,8.968296944,-0.531476653,-0.78916954,-0.257692887
gene:MSMEG_0014,10.4067237,9.99681756,10.63467431,10.34607186,0.409906141,-0.227950605,-0.637856747
gene:MSMEG_0015,10.22812128,10.14740585,10.30220006,10.22590906,0.080715424,-0.074078779,-0.154794203
gene:MSMEG_0016,6.768869323,7.396177272,7.883649701,7.349565432,-0.627307948,-1.114780378,-0.487472429
gene:MSMEG_0017,8.741158423,8.554911354,9.081853609,8.792641129,0.186247069,-0.340695186,-0.526942255
gene:MSMEG_0018,8.566428534,8.3514218,9.046802381,8.654884238,0.215006734,-0.480373846,-0.69538058
gene:MSMEG_0019,12.21826948,11.74930007,12.24246664,12.07001206,0.468969413,-0.024197157,-0.493166571
gene:MSMEG_0020,12.52844,12.40802359,12.79256177,12.57634179,0.120416412,-0.264121763,-0.384538174
gene:MSMEG_0021,10.28785156,9.769508818,10.31764076,10.12500038,0.518342738,-0.029789201,-0.548131939
gene:MSMEG_0022,12.73335435,11.94545643,12.16829455,12.28236844,0.787897925,0.565059806,-0.222838119
gene:MSMEG_0023,10.06520833,11.27647909,11.34148184,10.89438976,-1.211270758,-1.276273507,-0.06500275
gene:MSMEG_0024,14.42170201,13.99919364,14.52144604,14.3141139,0.422508364,-0.099744033,-0.522252396
gene:MSMEG_0025,12.4437352,11.90421584,12.43339217,12.26044774,0.539519356,0.01034303,-0.529176327
gene:MSMEG_0026,12.12612807,11.82200529,12.08437645,12.01083661,0.304122776,0.041751619,-0.262371157
gene:MSMEG_0027,10.50552265,9.602738255,9.858998725,9.989086544,0.902784397,0.646523927,-0.25626047
gene:MSMEG_0028,14.05688856,14.02315424,13.92962708,14.00322329,0.033734325,0.127261477,0.093527152
gene:MSMEG_0029,12.12947794,12.13818618,12.12191075,12.12985829,-0.00870824,0.007567185,0.016275425
gene:MSMEG_0030,12.69032897,12.68557894,12.80729904,12.72773565,0.004750031,-0.116970077,-0.121720108
gene:MSMEG_0031,11.81073987,12.05551971,12.41719195,12.09448384,-0.244779831,-0.606452071,-0.361672239
gene:MSMEG_0032,12.25806495,12.07978787,12.20079876,12.17955052,0.17827708,0.057266195,-0.121010885
gene:MSMEG_0033,14.62291352,13.17924477,13.30038213,13.70084681,1.443668749,1.322531386,-0.121137364
gene:MSMEG_0034,12.47681829,12.40760968,12.40842849,12.43095216,0.069208603,0.068389793,-0.00081881
gene:MSMEG_0035,15.93164694,14.31422673,14.34548872,14.86378746,1.617420206,1.586158217,-0.031261988
gene:MSMEG_0036,4.747635684,4.254630979,4.070864845,4.357710502,0.493004705,0.676770839,0.183766134
gene:MSMEG_0037,7.134329364,8.639430373,8.143202998,7.972320911,-1.505101009,-1.008873634,0.496227375
gene:MSMEG_0039,9.727871874,8.869488656,8.634337869,9.0772328,0.858383219,1.093534005,0.235150786
gene:MSMEG_0040,7.145553065,6.342872599,6.376190617,6.62153876,0.802680467,0.769362448,-0.033318018
gene:MSMEG_0041,6.795546739,7.093648889,7.340859027,7.076684885,-0.29810215,-0.545312288,-0.247210138
gene:MSMEG_0042,10.69566318,10.80026726,10.72099229,10.73897424,-0.104604072,-0.025329103,0.079274969
gene:MSMEG_0043,11.27085027,11.07236353,10.96661996,11.10327792,0.198486736,0.304230306,0.10574357
gene:MSMEG_0044,11.62628786,11.82454652,11.71876319,11.72319919,-0.198258655,-0.092475325,0.105783329
gene:MSMEG_0045,12.56058941,12.30316558,12.09155955,12.31843818,0.257423828,0.469029853,0.211606025
gene:MSMEG_0046,10.38745507,10.85462832,10.88149495,10.70785945,-0.467173253,-0.494039877,-0.026866624
gene:MSMEG_0047,12.16846601,12.07862406,12.04550022,12.09753009,0.089841947,0.122965791,0.033123843
gene:MSMEG_0048,10.2978578,11.4815997,11.47028347,11.08324699,-1.183741894,-1.172425666,0.011316228
gene:MSMEG_0049,13.23425318,12.19131064,12.16753119,12.53103167,1.042942541,1.06672199,0.023779449
gene:MSMEG_0050,10.70435002,10.16876326,9.957140629,10.2767513,0.53558676,0.747209387,0.211622627
gene:MSMEG_0051,12.42948144,11.07229601,10.82152784,11.44110176,1.357185427,1.607953601,0.250768174
gene:MSMEG_0052,11.7106523,11.40111401,11.31945144,11.47707258,0.309538282,0.391200859,0.081662578
gene:MSMEG_0053,12.52380592,12.17078425,12.2045598,12.29971666,0.353021668,0.319246118,-0.03377555
gene:MSMEG_0054,10.5357339,10.78350288,10.76651127,10.69524935,-0.24776898,-0.230777364,0.016991616
gene:MSMEG_0055,12.49667095,11.93560935,11.74036574,12.05754868,0.561061601,0.756305206,0.195243605
gene:MSMEG_0056,10.42899367,10.02416239,10.01901256,10.15738954,0.404831273,0.409981103,0.00514983
gene:MSMEG_0057,11.53805082,11.5776481,11.68222757,11.59930883,-0.039597282,-0.144176751,-0.104579469
gene:MSMEG_0058,11.07027302,10.79675748,10.35989511,10.74230853,0.273515542,0.71037791,0.436862369
gene:MSMEG_0059,12.4996802,13.23528101,12.86512591,12.8666957,-0.735600808,-0.365445711,0.370155097
gene:MSMEG_0060,12.52159596,12.45240164,12.40905066,12.46101609,0.069194313,0.112545293,0.04335098
gene:MSMEG_0061,13.60803839,13.16574513,13.07453251,13.28277201,0.442293264,0.533505877,0.091212613
gene:MSMEG_0062,13.02590768,12.98907172,12.65680407,12.89059449,0.036835961,0.369103618,0.332267656
gene:MSMEG_0063,11.2576538,12.90353878,12.34901106,12.17006788,-1.64588498,-1.091357258,0.554527722
gene:MSMEG_0064,13.39787549,14.23379485,13.71925584,13.78364206,-0.835919355,-0.321380349,0.514539006
gene:MSMEG_0065,13.37375145,13.55497599,13.10977397,13.34616714,-0.181224532,0.263977486,0.445202019
gene:MSMEG_0066,13.50109883,13.47276677,13.04851421,13.34079327,0.02833206,0.452584622,0.424252562
gene:MSMEG_0067,13.10897785,13.03945531,12.74070646,12.96304654,0.069522541,0.368271389,0.298748849
gene:MSMEG_0068,13.07417874,12.21963476,12.35032127,12.54804493,0.854543983,0.723857474,-0.130686509
