Symbol	Start	End	Strand	Product	Note	ProteinID	NCBIGeneID
Giles_1	14	571	+	gp1		YP_001552330.1	5758937
Giles_2	630	800	-	gp2		YP_001552331.1	5758932
Giles_3	930	1553	-	gp3		YP_001552332.1	5758939
Giles_4	1617	1826	-	gp4		YP_001552333.1	5758936
Giles_5	1855	3489	+	gp5	terminase	YP_001552334.1	5758934
Giles_6	3506	4915	+	gp6	probably portal	YP_001552335.1	5758935
Giles_7	4908	6098	+	gp7	protease	YP_001552336.1	5758933
Giles_8	6100	6552	+	gp8		YP_001552337.1	5758938
Giles_9	6586	7542	+	gp9	capsid subunit	YP_001552338.1	5758931
Giles_10	7539	7979	+	gp10	virion protein	YP_001552339.1	5758944
Giles_11	7983	8435	+	gp11		YP_001552340.1	5758941
Giles_12	8435	9118	+	gp12	virion protein	YP_001552341.1	5758950
Giles_13	9121	9528	+	gp13		YP_001552342.1	5758956
Giles_14	9521	9922	+	gp14		YP_001552343.1	5758940
Giles_15	9938	10477	+	gp15		YP_001552344.1	5758957
Giles_16	10511	10915	+	gp16	virion protein	YP_001552345.1	5758946
Giles_17	10893	11789	+	gp17		YP_001552346.1	5758960
Giles_18	11827	12069	+	gp18		YP_001552347.1	5758947
Giles_19	12071	12229	+	gp19		YP_001552348.1	5758959
Giles_20	12222	16301	+	gp20	tapemeasure protein	YP_001552349.1	5758955
Giles_21	16315	17409	+	gp21	virion protein	YP_001552350.1	5758948
Giles_22	17406	19148	+	gp22	virion protein	YP_001552351.1	5758953
Giles_23	19148	19753	+	gp23		YP_001552352.1	5758942
Giles_24	19750	20853	+	gp24	virion protein	YP_001552353.1	5758951
Giles_25	20853	23117	+	gp25	virion protein	YP_001552354.1	5758964
Giles_26	23120	23365	+	gp26		YP_001552355.1	5758943
Giles_27	23371	24609	+	gp27	virion protein	YP_001552356.1	5758965
Giles_28	24633	24989	+	gp28		YP_001552357.1	5758958
Giles_29	25285	26478	-	gp29	integrase	YP_001552358.1	5758961
Giles_30	26649	26822	+	gp30	excise	YP_001552359.2	5758954
Giles_31	27131	28339	+	gp31	lysin A	YP_001552360.1	5758945
Giles_32	28339	29574	+	gp32	lysin B	YP_001552361.1	5758949
Giles_33	29596	30006	+	gp33		YP_001552362.1	5758966
Giles_34	30016	30336	+	gp34		YP_001552363.1	5758962
Giles_35	30329	30949	+	gp35		YP_001552364.1	5758963
Giles_36	30952	31740	+	gp36	virion protein	YP_001552365.1	5758967
Giles_37	31742	31894	+	gp37		YP_001552366.1	5758908
Giles_38	31891	32046	-	gp38		YP_001552367.1	5758900
Giles_39	32112	32336	-	gp39		YP_001552368.1	5758914
Giles_40	32333	32707	-	gp40		YP_001552369.1	5758928
Giles_41	32891	33316	-	gp41		YP_001552370.1	5758888
Giles_42	33425	34126	-	gp42		YP_001552371.1	5758901
Giles_43	34195	34422	-	gp43		YP_001552372.1	5758912
Giles_44	34419	34724	-	gp44		YP_001552373.1	5758930
Giles_45	34736	35041	-	gp45		YP_001552374.1	5758922
Giles_46	35107	36063	-	gp46		YP_001552375.1	5758907
Giles_47	36188	36604	-	gp47		YP_001552376.1	5758920
Giles_49	37143	37457	+	gp49		YP_001552378.1	5758906
Giles_50	37454	37819	+	gp50		YP_001552379.1	5758909
Giles_51	37891	38754	+	gp51		YP_001552380.1	5758919
Giles_52	38780	39871	+	gp52	RecE-like protein	YP_001552381.1	5758894
Giles_53	39868	41316	+	gp53	RecT-like protein	YP_001552382.1	5758889
Giles_54	41313	41453	+	gp54		YP_001552383.1	5758891
Giles_55	41450	41767	+	gp55		YP_001552384.1	5758904
Giles_56	41760	42338	+	gp56		YP_001552385.1	5758895
Giles_57	42335	42907	+	gp57		YP_001552386.1	5758898
Giles_58	42904	43215	+	gp58		YP_001552387.1	5758896
Giles_59	43212	43631	+	gp59		YP_001552388.1	5758905
Giles_60	43624	43962	+	gp60		YP_001552389.1	5758899
Giles_61	43959	44513	+	gp61		YP_001552390.1	5758915
Giles_62	44916	45578	+	gp62	putative DNA methylase	YP_001552391.1	5758910
Giles_63	45667	46746	+	gp63		YP_001552392.1	5758897
Giles_64	46743	47240	+	gp64		YP_001552393.1	5758925
Giles_65	47237	47650	+	gp65		YP_001552394.1	5758918
Giles_66	47647	48102	+	gp66		YP_001552395.1	5758929
Giles_67	48164	48856	+	gp67		YP_001552396.1	5758917
Giles_68	48849	49157	+	gp68	WhiB-like protein	YP_001552397.1	5758924
Giles_69	49185	49526	+	gp69		YP_001552398.1	5758890
Giles_70	49523	49936	+	gp70		YP_001552399.1	5758903
Giles_71	49933	50319	+	gp71		YP_001552400.1	5758916
Giles_72	50316	50672	+	gp72		YP_001552401.1	5758911
Giles_73	50669	51157	+	gp73		YP_001552402.1	5758921
Giles_74	51154	51564	+	gp74		YP_001552403.1	5758892
Giles_75	52251	52598	+	gp75		YP_001552404.2	5758923
Giles_76	52603	52992	+	gp76		YP_001552405.1	5758893
Giles_77	52989	53147	+	gp77		YP_001552406.1	5758902
Giles_78	53248	53613	+	gp78		YP_001552407.1	5758926
